KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,367.47,348.25 (-5.2 %),362.63 (-1.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),14.38 (+3.9 %)
Energy bought (kWh),4534.2,4300.7 (-5.2 %),4522.6 (-0.3 %)
Energy sold (kWh),274.7,13.8 (-95.0 %),250.1 (-9.0 %)
