KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,718.06,495.03 (-31.1 %),574.18 (-20.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),79.15 (+11.0 %)
Energy bought (kWh),3466.3,3155.0 (-9.0 %),3723.1 (+7.4 %)
Energy sold (kWh),467.3,42.5 (-90.9 %),591.8 (+26.7 %)
