KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,261.57,207.72 (-20.6 %),223.12 (-14.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),15.40 (+5.9 %)
Energy bought (kWh),3410.8,2618.8 (-23.2 %),2855.4 (-16.3 %)
Energy sold (kWh),906.3,26.3 (-97.1 %),260.2 (-71.3 %)
