KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,461.66,423.88 (-8.2 %),444.07 (-3.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),20.19 (+4.4 %)
Energy bought (kWh),5669.5,5154.6 (-9.1 %),5476.6 (-3.4 %)
Energy sold (kWh),591.3,16.0 (-97.3 %),344.6 (-41.7 %)
