KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,421.38,209.80 (-50.2 %),292.98 (-30.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),83.18 (+19.7 %)
Energy bought (kWh),2171.0,1436.5 (-33.8 %),1882.2 (-13.3 %)
Energy sold (kWh),1009.2,158.5 (-84.3 %),603.2 (-40.2 %)
