KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,585.69,433.84 (-25.9 %),489.41 (-16.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),55.56 (+9.5 %)
Energy bought (kWh),3099.7,2750.8 (-11.3 %),3004.0 (-3.1 %)
Energy sold (kWh),455.3,22.4 (-95.1 %),280.8 (-38.3 %)
