KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1060.86,666.59 (-37.2 %),831.41 (-21.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),164.81 (+15.5 %)
Energy bought (kWh),6029.8,4864.7 (-19.3 %),5888.8 (-2.3 %)
Energy sold (kWh),2108.6,629.5 (-70.1 %),1651.3 (-21.7 %)
