KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,242.88,202.85 (-16.5 %),235.27 (-3.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),32.42 (+13.3 %)
Energy bought (kWh),3185.0,2567.7 (-19.4 %),3107.1 (-2.4 %)
Energy sold (kWh),821.9,136.0 (-83.5 %),696.5 (-15.3 %)
