KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1172.85,809.13 (-31.0 %),900.24 (-23.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),91.11 (+7.8 %)
Energy bought (kWh),5669.5,5364.1 (-5.4 %),6006.0 (+5.9 %)
Energy sold (kWh),591.3,15.2 (-97.4 %),653.5 (+10.5 %)
