KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,760.95,469.13 (-38.3 %),582.99 (-23.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),113.86 (+15.0 %)
Energy bought (kWh),3680.3,2870.8 (-22.0 %),3555.3 (-3.4 %)
Energy sold (kWh),1039.9,76.0 (-92.7 %),759.2 (-27.0 %)
