KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,257.30,231.78 (-9.9 %),245.98 (-4.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),14.20 (+5.5 %)
Energy bought (kWh),3203.1,2853.5 (-10.9 %),3081.8 (-3.8 %)
Energy sold (kWh),493.6,106.0 (-78.5 %),330.0 (-33.1 %)
