KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1172.85,843.13 (-28.1 %),914.79 (-22.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),71.66 (+6.1 %)
Energy bought (kWh),5669.5,5251.3 (-7.4 %),5627.5 (-0.7 %)
Energy sold (kWh),591.3,13.9 (-97.7 %),390.2 (-34.0 %)
