KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,816.77,625.89 (-23.4 %),692.81 (-15.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),66.92 (+8.2 %)
Energy bought (kWh),4365.1,4292.6 (-1.7 %),4783.1 (+9.6 %)
Energy sold (kWh),187.6,13.9 (-92.6 %),490.7 (+161.5 %)
