KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,257.30,231.78 (-9.9 %),250.27 (-2.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),18.49 (+7.2 %)
Energy bought (kWh),3203.1,2853.5 (-10.9 %),3149.4 (-1.7 %)
Energy sold (kWh),493.6,106.0 (-78.5 %),399.7 (-19.0 %)
