KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,261.57,207.72 (-20.6 %),243.06 (-7.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),35.34 (+13.5 %)
Energy bought (kWh),3410.8,2618.8 (-23.2 %),3194.2 (-6.3 %)
Energy sold (kWh),906.3,26.3 (-97.1 %),614.4 (-32.2 %)
