KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,610.41,393.37 (-35.6 %),474.42 (-22.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),81.06 (+13.3 %)
Energy bought (kWh),3270.6,2518.6 (-23.0 %),3009.3 (-8.0 %)
Energy sold (kWh),1022.8,141.5 (-86.2 %),630.7 (-38.3 %)
