KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost (USD),446.32,273.83 (-38.6 %),282.08 (-36.8 %)
Regret vs perfect foresight (USD),—,0.00 (0.0 %),8.25 (+1.8 %)
Energy bought (kWh),2370.8,2341.2 (-1.2 %),2411.8 (+1.7 %)
Energy sold (kWh),277.4,56.0 (-79.8 %),134.8 (-51.4 %)
