KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,449.84,360.49 (-19.9 %),382.63 (-14.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),22.14 (+4.9 %)
Energy bought (kWh),6029.8,4680.8 (-22.4 %),5009.9 (-16.9 %)
Energy sold (kWh),2108.6,611.2 (-71.0 %),954.7 (-54.7 %)
