KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,926.29,642.58 (-30.6 %),729.31 (-21.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),86.73 (+9.4 %)
Energy bought (kWh),4569.7,3968.3 (-13.2 %),4412.6 (-3.4 %)
Energy sold (kWh),768.3,26.2 (-96.6 %),473.5 (-38.4 %)
