KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,383.79,352.40 (-8.2 %),375.04 (-2.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),22.63 (+5.9 %)
Energy bought (kWh),4741.6,4312.6 (-9.0 %),4682.1 (-1.3 %)
Energy sold (kWh),554.7,77.5 (-86.0 %),457.3 (-17.6 %)
